"","kbit_nv","TOWRE-2 Sight Word Efficiency: Standard Score","TOWRE-2 Phonemic Decoding Efficiency: Standard Score","TOWRE-2 Total Word Reading Efficiency Index: Standard Score","WRMT-3 Word ID: Standard Score","WRMT-3 Word Attack: Standard Score","WRMT-3 Basic Skills: Standard Score","WAIS-4 DS Forward: Standard Score","WAIS-4 DS Backward: Standard Score","WAIS-4 DS Total: Standard Score","CTOPP-2 Elision: Standard Score","CTOPP-2 Blending Words: Standard Score","CTOPP-2 Non-Word Repetition: Standard Score","CTOPP_TOTAL","VSL_ACC","VSL_RT_SLOPE","TSL_ACC","TSL_RT_SLOPE"
"1",125,93,100,96,118,104,111,12,11,13,10,12,13,11.67,0.625,-7.249,0.625,7.98
"2",120,100,115,108,112,112,112,12,11,11,12,16,9,12.33,0.719,1.566,0.562,6.774
"3",125,113,110,112,118,98,108,9,8,9,11,12,8,10.33,0.969,-0.669,0.594,32.07
"4",111,108,100,104,102,93,97,9,10,10,9,13,9,10.33,NA,NA,0.719,-3.961
"5",125,127,112,121,112,104,108,12,11,12,10,14,10,11.33,0.594,0.893,0.531,1.466
"6",92,107,108,108,106,104,105,13,9,11,10,13,11,11.33,0.969,-8.842,0.625,8.636
"7",120,98,100,99,118,93,105,10,10,10,10,15,9,11.33,0.938,-1.984,0.812,-2.284
"8",109,118,100,110,113,101,107,9,9,10,9,12,10,10.33,0.188,-0.65,0.688,3.04
"9",125,111,92,102,102,98,100,9,10,11,4,10,10,8,0.594,-2.584,0.656,0.455
"10",103,130,113,123,118,98,108,16,10,14,9,13,7,9.67,0.594,2.783,0.719,-10.658
"11",125,110,110,111,106,93,99,9,11,10,10,12,13,11.67,0.812,3.912,0.656,1.645
"12",120,110,93,102,106,98,102,7,7,6,9,12,10,10.33,0.781,-2.383,0.875,1.464
"13",125,106,109,108,98,98,98,9,9,10,11,11,6,9.33,0.656,1.286,0.5,-7.284
"14",120,93,96,94,108,102,105,9,9,9,9,8,10,9,0.75,-1.695,0.625,-7.61
"15",130,106,112,110,98,112,105,10,10,10,10,11,7,9.33,0.281,1.448,0.594,3.432
"16",88,93,97,95,101,96,98,13,6,9,8,9,6,7.67,0.375,-0.535,0.562,3.25
"17",109,130,110,121,108,121,116,13,11,12,12,15,8,11.67,0.75,-1.997,0.781,2.644
"18",120,108,110,110,108,96,102,16,12,12,9,9,8,8.67,0.938,0.052,0.75,4.089
"19",125,127,112,121,118,104,111,9,16,12,12,15,10,12.33,0.25,2.421,0.969,-6.142
"20",107,98,109,104,112,98,105,8,7,8,10,8,NA,9,0.656,1.547,0.812,7.221
"21",115,118,112,116,108,106,107,14,15,14,12,17,12,13.66666667,0.938,-1.45,0.438,1.527
"22",130,99,100,100,118,121,121,12,9,10,11,12,8,10.33333333,0.875,-1.88,0.688,-1.765
"23",109,109,108,103,108,113,94,116,6,7,10,10,12,10.66666667,0.688,2.094,0.594,11.261
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1.802,0.5,1.041
